episode,ep_reward,rolling_mean_reward,total_profit,approval_rate,default_rate,volume_lent,roi,policy_loss,value_loss,entropy,approx_kl
23,457.27995382238606,442.7530517812664,4572799.538223835,53.800000000000004,60.594795539033456,12057115.989999998,37.92614703231229,0.0,0.0,0.0,0.0
24,485.6935334269773,449.3089576390472,4856935.33426975,52.800000000000004,59.84848484848485,11456593.950000003,42.39423475656785,0.0,0.0,0.0,0.0
25,373.9449496243509,435.36133019147957,3739449.4962434988,52.6,65.0190114068441,11654527.419999998,32.0858097585865,0.0,0.0,0.0,0.0
26,365.9022579022853,431.5309601448536,3659022.5790228345,52.6,64.25855513307985,11714565.670000006,31.234812131304846,0.0,0.0,0.0,0.0
27,385.1341310360428,428.35402614371526,3851341.310360415,54.800000000000004,62.77372262773723,12099778.030000001,31.82985093454987,0.0,0.0,0.0,0.0
28,465.7270777426276,423.9957579568677,4657270.777426248,53.400000000000006,61.04868913857678,11634496.449999996,40.02984398543738,0.0,0.0,0.0,0.0
29,455.19543806780194,427.7463846110377,4551954.380677998,51.2,57.8125,11198518.29,40.64782735357749,0.0,0.0,0.0,0.0
30,374.4210164607517,423.2604031911853,3744210.1646074993,51.2,62.890625,11376693.449999996,32.91123366436054,0.0,0.0,0.0,0.0
31,396.85595109511786,414.0842183480542,3968559.510951165,55.800000000000004,62.72401433691756,12476059.48,31.80939877140731,0.0,0.0,0.0,0.0
32,467.47536579913515,422.76296749774764,4674753.657991334,56.00000000000001,65.0,12654241.629999997,36.94218740780703,0.0,0.0,0.0,0.0
33,455.24629711922734,422.5596018274317,4552462.971192249,53.400000000000006,60.67415730337079,11930738.0,38.157429751556435,0.0,0.0,0.0,0.0
34,461.4495522384025,420.13520370857424,4614495.522384,55.800000000000004,62.00716845878136,12326934.379999997,37.43425072393386,0.0,0.0,0.0,0.0
35,419.22177350410993,424.6628860965502,4192217.735041083,54.400000000000006,61.76470588235294,11974879.550000006,35.008433425462556,0.0,0.0,0.0,0.0
36,404.9274609933097,428.56540640565265,4049274.6099330853,55.00000000000001,64.0,12249162.130000006,33.057563994649186,0.0,0.0,0.0,0.0
37,474.76321047846005,437.5283143498944,4747632.104784584,54.0,59.25925925925925,12002809.540000001,39.554340081485485,0.0,0.0,0.0,0.0
38,432.7412867269939,434.22973524833094,4327412.8672699155,54.0,60.0,12081520.26,35.81844647148666,0.0,0.0,0.0,0.0
39,449.2017010535113,433.6303615469019,4492017.010535083,56.99999999999999,62.4561403508772,12609779.249999996,35.62328032455512,0.0,0.0,0.0,0.0
40,488.3660563888854,445.0248655397154,4883660.563888834,54.800000000000004,59.12408759124088,12378942.960000005,39.45135363875069,0.0,0.0,0.0,0.0
41,474.27374027663564,452.766644457867,4742737.402766333,53.0,58.867924528301884,11660181.110000005,40.67464611419171,0.0,0.0,0.0,0.0
42,445.8527617322265,450.6043840511762,4458527.61732225,52.6,60.07604562737643,11340296.65,39.315793536337964,0.0,0.0,0.0,0.0
43,407.72819016774343,445.8525733560279,4077281.9016774157,55.00000000000001,63.272727272727266,11840367.26,34.43543440963685,0.0,0.0,0.0,0.0
